step,s_loss,c_loss
745,7185685.0,30289.809
746,7169645.5,30280.68
747,7153704.0,30271.537
748,7137865.5,30262.377
749,7122142.5,30253.209
750,7106517.5,30244.012
751,7090975.0,30234.852
752,7075462.0,30225.664
753,7059998.0,30216.496
754,7044613.5,30207.402
755,7029301.5,30198.254
756,7014054.0,30189.078
757,6998864.5,30180.023
758,6983705.0,30171.11
759,6968599.5,30162.242
760,6953560.5,30153.482
761,6938596.0,30144.7
762,6923706.5,30136.004
763,6908918.0,30127.29
764,6894207.0,30118.541
765,6879573.0,30109.934
766,6865038.0,30101.418
767,6850642.0,30092.846
768,6836356.0,30084.25
769,6822152.0,30075.594
770,6808016.5,30066.91
771,6793955.0,30058.129
772,6779953.0,30049.312
773,6766022.5,30040.508
774,6752161.5,30031.85
775,6738362.5,30023.197
776,6724601.0,30014.533
777,6710883.0,30005.936
778,6697209.0,29997.45
779,6683585.0,29989.08
780,6670002.5,29980.832
781,6656462.0,29972.732
782,6642967.5,29964.734
783,6629521.5,29956.844
784,6616104.5,29949.012
785,6602742.0,29941.088
786,6589427.0,29933.188
787,6576177.0,29925.266
788,6563007.0,29917.32
789,6549913.0,29909.367
790,6536863.0,29901.39
791,6523862.0,29893.371
792,6510904.0,29885.36
793,6497993.0,29877.402
794,6485135.0,29869.41
795,6472346.5,29861.414
796,6459609.5,29853.389
797,6446930.0,29845.334
798,6434315.5,29837.29
799,6421775.0,29829.254
800,6409282.0,29821.195
801,6396838.5,29813.162
802,6384454.0,29805.332
803,6372102.0,29797.525
804,6359778.0,29789.797
805,6347486.0,29782.18
806,6335239.0,29774.621
807,6323038.0,29767.176
808,6310874.0,29759.82
809,6298770.0,29752.516
810,6286741.0,29745.34
811,6274773.0,29738.121
812,6262857.0,29730.865
813,6250990.0,29723.668
814,6239187.0,29716.494
815,6227460.0,29709.324
816,6215790.0,29702.102
817,6204173.0,29694.818
818,6192619.0,29687.55
819,6181111.0,29680.281
820,6169643.0,29673.014
821,6158216.0,29665.832
822,6146828.0,29658.68
823,6135462.5,29651.594
824,6124143.0,29644.6
825,6112855.0,29637.648
826,6101603.5,29630.688
827,6090415.0,29623.676
828,6079274.5,29616.617
829,6068189.0,29609.547
830,6057152.5,29602.436
831,6046178.5,29595.281
832,6035246.5,29588.123
833,6024359.0,29580.926
834,6013549.5,29573.668
835,6002808.0,29566.355
836,5992133.5,29558.994
837,5981522.0,29551.611
838,5970976.5,29544.102
839,5960476.0,29536.482
840,5950014.0,29528.816
841,5939613.5,29521.059
842,5929263.0,29513.172
843,5918954.0,29505.152
844,5908698.5,29497.074
845,5898494.5,29488.97
846,5888332.0,29480.848
847,5878216.5,29472.697
848,5868138.0,29464.53
849,5858113.0,29456.348
850,5848089.0,29448.2
851,5838102.0,29440.04
852,5828146.0,29431.887
853,5818233.0,29423.777
854,5808376.0,29415.688
855,5798585.5,29407.588
856,5788832.0,29399.447
857,5779106.0,29391.293
858,5769414.0,29383.262
859,5759766.0,29375.256
860,5750162.0,29367.277
861,5740586.0,29359.379
862,5731031.5,29351.527
863,5721516.5,29343.727
864,5712042.0,29335.957
865,5702586.0,29328.273
866,5693157.0,29320.666
867,5683752.0,29313.11
868,5674366.0,29305.605
869,5665021.0,29298.125
870,5655705.5,29290.672
871,5646404.0,29283.238
872,5637134.0,29275.773
873,5627903.0,29268.385
874,5618713.0,29261.06
875,5609565.0,29253.787
876,5600441.5,29246.584
877,5591334.0,29239.465
878,5582258.0,29232.385
879,5573225.0,29225.387
880,5564221.0,29218.516
881,5555243.0,29211.752
882,5546290.5,29205.07
883,5537368.0,29198.488
884,5528476.5,29192.035
885,5519598.5,29185.64
886,5510732.5,29179.277
887,5501908.5,29172.916
888,5493112.5,29166.547
889,5484345.5,29160.215
890,5475617.0,29153.898
891,5466900.0,29147.621
892,5458223.5,29141.355
893,5449580.5,29135.129
894,5440970.0,29128.91
895,5432397.5,29122.697
896,5423860.5,29116.479
897,5415356.0,29110.266
898,5406878.0,29104.027
899,5398416.0,29097.785
900,5389971.0,29091.47
901,5381548.0,29085.145
902,5373151.5,29078.797
903,5364759.0,29072.418
904,5356394.5,29066.03
905,5348073.0,29059.645
906,5339795.0,29053.25
907,5331569.5,29046.893
908,5323390.0,29040.566
909,5315245.0,29034.254
910,5307130.0,29027.94
911,5299049.5,29021.605
912,5291009.0,29015.277
913,5283005.0,29008.973
914,5275023.0,29002.664
915,5267072.0,28996.37
916,5259150.5,28990.09
917,5251266.5,28983.807
918,5243410.5,28977.59
919,5235573.0,28971.387
920,5227745.0,28965.227
921,5219936.0,28959.102
922,5212143.5,28952.934
923,5204364.5,28946.852
924,5196607.5,28940.809
925,5188863.5,28934.812
926,5181147.0,28928.863
